year,distance_to_western_1961_plate,distance_to_south_asian_1961_plate,distance_to_west_african_1961_plate,distance_to_east_asian_1961_plate
1961,0.3182,0.3032,0.2511,0.2884
1962,0.3142,0.3046,0.2514,0.2902
1963,0.3109,0.3048,0.2505,0.2903
1964,0.3099,0.3033,0.25,0.2889
1965,0.3068,0.3045,0.251,0.2904
1966,0.302,0.3057,0.2507,0.2913
1967,0.3,0.3075,0.2523,0.2935
1968,0.2979,0.3103,0.2547,0.2963
1969,0.2973,0.3095,0.2545,0.2958
1970,0.2942,0.3127,0.2569,0.2988
1971,0.2916,0.3128,0.2563,0.299
1972,0.2904,0.3142,0.2586,0.301
1973,0.2917,0.3112,0.2571,0.2981
1974,0.2894,0.3116,0.255,0.2982
1975,0.2908,0.3121,0.2553,0.2984
1976,0.284,0.3126,0.2542,0.2988
1977,0.2802,0.3126,0.2534,0.2989
1978,0.277,0.316,0.2556,0.3022
1979,0.2741,0.3154,0.2543,0.3016
1980,0.2745,0.3149,0.2542,0.3008
1981,0.2725,0.3176,0.2534,0.3028
1982,0.2708,0.3179,0.2538,0.3032
1983,0.2723,0.3141,0.2535,0.3005
1984,0.2697,0.3153,0.2517,0.3012
1985,0.2703,0.3155,0.2522,0.3013
1986,0.2693,0.3162,0.2524,0.3023
1987,0.2685,0.3168,0.2531,0.3027
1988,0.2672,0.3163,0.2516,0.3021
1989,0.2671,0.3163,0.2512,0.3021
1990,0.2645,0.3177,0.2509,0.3035
1991,0.2645,0.3167,0.2511,0.3028
1992,0.26,0.3185,0.2496,0.3038
1993,0.2597,0.3193,0.249,0.3041
1994,0.2596,0.32,0.2499,0.305
1995,0.2557,0.3213,0.2493,0.3061
1996,0.2568,0.3218,0.2504,0.3063
1997,0.2518,0.3249,0.2496,0.3091
1998,0.2522,0.3242,0.2481,0.308
1999,0.251,0.3259,0.2476,0.3092
2000,0.2488,0.3264,0.2471,0.3094
2001,0.2484,0.3269,0.2467,0.3098
2002,0.2461,0.3284,0.2466,0.311
2003,0.2456,0.3263,0.2445,0.3088
2004,0.2422,0.3296,0.2446,0.3117
2005,0.2413,0.3287,0.2426,0.3102
2006,0.2394,0.3296,0.2431,0.3112
2007,0.2374,0.3319,0.2444,0.3133
2008,0.2373,0.3316,0.2432,0.3129
2009,0.2375,0.3301,0.2416,0.3114
2010,0.2313,0.3397,0.2437,0.3209
2011,0.229,0.3425,0.2455,0.3236
2012,0.2282,0.3427,0.245,0.3238
2013,0.228,0.3414,0.2447,0.3228
2014,0.2241,0.343,0.2437,0.3237
2015,0.2257,0.3433,0.2447,0.324
2016,0.2251,0.343,0.2433,0.3236
2017,0.2238,0.3428,0.2424,0.3234
2018,0.2252,0.3449,0.2437,0.3252
2019,0.2228,0.3481,0.2448,0.3283
2020,0.2254,0.3453,0.243,0.3256
2021,0.2232,0.3483,0.2452,0.3285
2022,0.2227,0.349,0.2458,0.3291
2023,0.2219,0.3496,0.246,0.3296
