year,highest_kcal,highest_country,lowest_kcal,lowest_country,ratio
1961,4064,Jordan,1339,Burkina Faso,3.04
1962,4055,Jordan,1319,Burkina Faso,3.08
1963,4042,Jordan,1461,Cape Verde,2.77
1964,3825,Jordan,1534,Maldives,2.49
1965,3851,Jordan,1530,Myanmar,2.52
1966,3742,Jordan,1436,Myanmar,2.61
1967,3457,Bulgaria,1443,Myanmar,2.4
1968,3539,Hong Kong,1451,Myanmar,2.44
1969,3475,Bulgaria,1436,Myanmar,2.42
1970,3491,Switzerland,1454,Myanmar,2.4
1971,3527,Bulgaria,1481,Myanmar,2.38
1972,3527,Switzerland,1443,Myanmar,2.44
1973,3571,Italy,1438,Burkina Faso,2.48
1974,3522,Poland,1466,Burkina Faso,2.4
1975,3544,Poland,1502,Myanmar,2.36
1976,3591,Poland,1521,Myanmar,2.36
1977,3580,Poland,1394,Burkina Faso,2.57
1978,3765,Saudi Arabia,1541,Ghana,2.44
1979,4273,Saudi Arabia,1479,Ghana,2.89
1980,4677,Saudi Arabia,1438,Ghana,3.25
1981,4734,Saudi Arabia,1432,Ghana,3.31
1982,4754,Saudi Arabia,1353,Ghana,3.51
1983,4793,Saudi Arabia,1394,Ghana,3.44
1984,4443,Saudi Arabia,1497,Burkina Faso,2.97
1985,4390,Saudi Arabia,1564,Angola,2.81
1986,4184,Saudi Arabia,1511,Angola,2.77
1987,4081,Saudi Arabia,1486,Angola,2.75
1988,4393,Saudi Arabia,1448,Angola,3.03
1989,4252,Saudi Arabia,1418,Angola,3.0
1990,4366,Saudi Arabia,1459,Angola,2.99
1991,4297,Saudi Arabia,1427,Angola,3.01
1992,4107,Saudi Arabia,1439,Angola,2.85
1993,3986,Saudi Arabia,1387,Angola,2.87
1994,3858,Saudi Arabia,1457,Angola,2.65
1995,3980,Saudi Arabia,1491,Angola,2.67
1996,3970,Saudi Arabia,1521,Angola,2.61
1997,3946,Saudi Arabia,1438,Rwanda,2.74
1998,3891,Saudi Arabia,1518,Angola,2.56
1999,3896,Saudi Arabia,1557,Angola,2.5
2000,3874,Saudi Arabia,1541,Angola,2.51
2001,3776,Saudi Arabia,1574,Angola,2.4
2002,3825,United States,1645,Angola,2.32
2003,3816,United States,1704,Angola,2.24
2004,3844,United States,1744,Angola,2.2
2005,3860,United States,1781,Angola,2.17
2006,3811,United States,1785,Zambia,2.13
2007,3781,United States,1716,Zambia,2.2
2008,3725,Austria,1723,Zambia,2.16
2009,3735,Austria,1785,Zambia,2.09
2010,3785,Austria,1925,Zambia,1.97
2011,3834,Austria,1940,Congo,1.98
2012,3823,Austria,1991,Zambia,1.92
2013,3797,Austria,2026,Zambia,1.87
2014,3754,Austria,2040,Mozambique,1.84
2015,3762,Ireland,1923,Mozambique,1.96
2016,3815,Ireland,1833,Yemen,2.08
2017,3948,Ireland,1871,Yemen,2.11
2018,3931,Ireland,1866,Yemen,2.11
2019,3967,Ireland,1897,Yemen,2.09
2020,3918,Ireland,1810,Lesotho,2.16
2021,3886,Ireland,1812,Lesotho,2.14
2022,3947,Ireland,1814,Lesotho,2.18
2023,3947,United States,1811,Yemen,2.18
