year,dispersion_all_countries,dispersion_balanced_panel,cosine_distance_balanced
1961,0.2257,0.2207,0.1655
1962,0.223,0.2195,0.1644
1963,0.2214,0.2179,0.1611
1964,0.2213,0.2178,0.1597
1965,0.2204,0.2172,0.1596
1966,0.2193,0.2156,0.158
1967,0.2192,0.2162,0.1585
1968,0.2209,0.2183,0.1613
1969,0.2209,0.2181,0.1608
1970,0.2214,0.2187,0.1613
1971,0.2197,0.2177,0.1602
1972,0.221,0.2187,0.1604
1973,0.2207,0.2183,0.1597
1974,0.218,0.2159,0.1578
1975,0.2183,0.2167,0.1605
1976,0.2153,0.2125,0.1546
1977,0.2122,0.2098,0.1513
1978,0.2126,0.2098,0.1514
1979,0.21,0.2074,0.1484
1980,0.2088,0.2077,0.149
1981,0.2076,0.2066,0.1506
1982,0.2076,0.2068,0.1497
1983,0.2071,0.2064,0.1477
1984,0.2051,0.2045,0.1446
1985,0.2055,0.2057,0.1449
1986,0.205,0.2053,0.1454
1987,0.2051,0.2055,0.145
1988,0.2041,0.2038,0.1421
1989,0.203,0.2029,0.1426
1990,0.2012,0.2015,0.1412
1991,0.2015,0.2018,0.1394
1992,0.1917,0.1974,0.135
1993,0.1932,0.197,0.1348
1994,0.193,0.1978,0.1352
1995,0.1921,0.1955,0.1332
1996,0.1931,0.1973,0.1359
1997,0.1911,0.1937,0.1334
1998,0.1894,0.1926,0.1326
1999,0.1895,0.1917,0.1325
2000,0.1879,0.1891,0.1307
2001,0.1861,0.1888,0.131
2002,0.1844,0.1872,0.1302
2003,0.1823,0.1852,0.1277
2004,0.1807,0.1831,0.1263
2005,0.178,0.1812,0.1243
2006,0.1769,0.1801,0.1227
2007,0.1765,0.1802,0.1234
2008,0.1757,0.1792,0.1214
2009,0.175,0.178,0.12
2010,0.178,0.1749,0.1206
2011,0.1768,0.1747,0.1211
2012,0.1755,0.1734,0.1204
2013,0.1754,0.1726,0.1188
2014,0.1736,0.1701,0.1167
2015,0.1755,0.1721,0.1185
2016,0.1742,0.1705,0.1169
2017,0.1737,0.1693,0.115
2018,0.1745,0.171,0.1177
2019,0.1733,0.1699,0.118
2020,0.1735,0.1702,0.1182
2021,0.1734,0.1702,0.119
2022,0.1736,0.1701,0.1191
2023,0.1684,0.1691,0.1178
