country,year,Staple plants,Oils and sugar,"Meat, dairy, eggs",Fruits and vegetables,Alcohol and other
United States,1961,26.1,36.3,27.9,5.0,4.6
United States,2023,25.0,40.5,24.5,5.7,4.4
United Kingdom,1961,30.1,34.3,27.0,3.5,5.1
United Kingdom,2023,33.7,29.4,23.7,5.3,8.0
France,1961,37.1,21.8,25.0,5.5,10.6
France,2023,29.1,31.5,24.7,5.6,9.2
Japan,1961,67.3,16.4,8.8,3.7,3.8
Japan,2022,39.3,30.8,19.9,4.9,5.1
South Korea,1961,86.8,4.7,2.2,3.0,3.3
South Korea,2023,33.6,37.9,16.1,6.3,6.1
China,1961,84.6,6.8,3.3,4.7,0.6
China,2023,50.3,14.8,18.0,13.1,3.8
Brazil,1961,56.4,26.8,10.5,4.7,1.5
Brazil,2023,33.7,33.1,24.1,5.1,4.0
Mexico,1961,65.2,18.9,10.7,3.3,1.9
Mexico,2023,43.3,26.2,20.0,6.9,3.6
Egypt,1961,72.7,15.1,4.7,6.9,0.5
Egypt,2023,66.2,15.5,8.4,9.3,0.6
India,1961,74.9,17.3,4.3,2.7,0.7
India,2023,58.4,22.8,10.4,6.2,2.1
Nigeria,1961,66.1,22.7,2.3,6.4,2.6
Nigeria,2023,67.0,22.7,2.6,6.2,1.4
Senegal,1961,67.7,23.0,6.8,1.3,1.2
Senegal,2023,64.5,24.5,5.7,4.5,0.8
