source,target,letters,source_gender,target_gender
"Adams, John","Adams, Abigail Smith",657,M,F
"Heath, William","Washington, George",618,M,M
"Jefferson, Thomas","Madison, James",612,M,M
"Madison, James","Jefferson, Thomas",595,M,M
"Monroe, James","Madison, James",584,M,M
"Gallatin, Albert","Jefferson, Thomas",564,M,M
"Knox, Henry","Washington, George",480,M,M
"Adams, Abigail Smith","Adams, John",430,F,M
"Hamilton, Alexander","Washington, George",425,M,M
"Madison, James","Monroe, James",418,M,M
"Jefferson, Thomas","Gallatin, Albert",404,M,M
"Washington, George","Heath, William",372,M,M
"Williams, Jonathan Jr.","Franklin, Benjamin",356,M,M
"Claiborne, William C. C.","Madison, James",344,M,M
"Jefferson, Thomas","Washington, George",337,M,M
"Washington, George","Hancock, John",323,M,M
"Short, William","Jefferson, Thomas",321,M,M
"Pickering, Timothy","Washington, George",312,M,M
"Monroe, James","Jefferson, Thomas",298,M,M
"Hamilton, Alexander","McHenry, James",296,M,M
"Dearborn, Henry","Jefferson, Thomas",292,M,M
"Greene, Nathanael","Washington, George",290,M,M
"Jefferson, George","Jefferson, Thomas",290,M,M
"Adams, John","Adams, John Quincy",280,M,M
"Randolph, Edmund","Washington, George",278,M,M
"Adams, John Quincy","Adams, John",275,M,M
"McHenry, James","Hamilton, Alexander",275,M,M
"Jefferson, Thomas","Jefferson, George",266,M,M
"Adams, Abigail Smith","Adams, John Quincy",264,F,M
"Smith, Robert","Jefferson, Thomas",260,M,M
"Washington, George","Hamilton, Alexander",251,M,M
"Dumas, Charles-Guillaume-Frédéric","Franklin, Benjamin",248,M,M
"Washington, George","Knox, Henry",246,M,M
"Adams, John Quincy","Adams, Abigail Smith",243,M,F
"Peyton, Bernard","Jefferson, Thomas",241,M,M
"Adams, Louisa Catherine Johnson","Adams, John Quincy",238,F,M
"Adams, John Quincy","Adams, Thomas Boylston",234,M,M
"Washington, George","Jefferson, Thomas",225,M,M
"Jefferson, Thomas","Short, William",223,M,M
"Jefferson, Thomas","Randolph, Thomas Mann",223,M,M
"Coxe, Tench","Hamilton, Alexander",223,M,M
"Adams, John Quincy","Adams, Louisa Catherine Johnson",217,M,F
"Lincoln, Benjamin","Washington, George",214,M,M
"Adams, John","President of Congress,",214,M,NA
"Madison, James","Gallatin, Albert",213,M,M
"Sullivan, John","Washington, George",211,M,M
"Jefferson, Thomas","Monroe, James",210,M,M
"Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de","Washington, George",200,M,M
"Washington, George","Clinton, George",197,M,M
"Jefferson, Thomas","Jefferson,",197,M,M
"Erving, George W.","Madison, James",195,M,M
"Gallatin, Albert","Madison, James",194,M,M
"Barnes, John","Jefferson, Thomas",193,M,M
"Adams, John","Jefferson, Thomas",191,M,M
"Washington, George","Trumbull, Jonathan Sr.",188,M,M
"Washington, George","Lincoln, Benjamin",186,M,M
"Van der Kemp, François Adriaan","Adams, John",185,M,M
"Adams, Abigail Smith","Cranch, Mary Smith",182,F,F
"Adams, John","United States Senate,",180,M,M
"Hancock, John","Washington, George",178,M,M
"Clinton, George","Washington, George",178,M,M
"Schuyler, Philip","Washington, George",177,M,M
"Washington, George","Greene, Nathanael",176,M,M
"Washington, George","Pickering, Timothy",174,M,M
"Washington, George","Board of War,",172,M,NA
"McHenry, James","Washington, George",171,M,M
"Bourne, Sylvanus","Madison, James",170,M,M
"Jefferson, Thomas","Barnes, John",169,M,M
"Adams, Louisa Catherine Johnson","Adams, John",166,F,M
"Jarvis, William","Madison, James",166,M,M
"Jefferson, Thomas","Dearborn, Henry",164,M,M
"Pickering, Timothy","Adams, John",163,M,M
"Washington, George","Huntington, Samuel",162,M,M
"Rochambeau, Jean-Baptiste Donatien de Vimeur comte de","Washington, George",162,M,M
"Coxe, Tench","Madison, James",162,M,M
"Trumbull, Jonathan Sr.","Washington, George",160,M,M
"Livingston, William","Washington, George",159,M,M
"Howe, Robert","Washington, George",158,M,M
"Olney, Jeremiah","Hamilton, Alexander",157,M,M
"Washington, George","Gates, Horatio",156,M,M
"Washington, George","Sullivan, John",156,M,M
"Washington, George","McDougall, Alexander",152,M,M
"Gates, Horatio","Washington, George",149,M,M
"Ellery, William","Hamilton, Alexander",149,M,M
"Adams, John","Jay, John",147,M,M
"Washington, George","United States Senate,",147,M,M
"Lear, Tobias","Washington, George",146,M,M
"Adams, John","Huntington, Samuel",143,M,M
"Madison, James","Randolph, Edmund",143,M,M
"Jefferson, Thomas","Gibson, Patrick",143,M,M
"Washington, George","Putnam, Israel",142,M,M
"Jefferson, Thomas","Adams, John",142,M,M
"Gavino, John","Madison, James",142,M,M
"Lee, William","Madison, James",142,M,M
"Jefferson, Thomas","Peyton, Bernard",142,M,M
"Washington, George","Livingston, William",140,M,M
"Adams, John","Rush, Benjamin",140,M,M
"Huntington, Samuel","Washington, George",139,M,M
"Rush, Benjamin","Adams, John",138,M,M
"Latrobe, Benjamin Henry","Jefferson, Thomas",138,M,M
"Claiborne, William C. C.","Jefferson, Thomas",137,M,M
"Cabell, Joseph Carrington","Jefferson, Thomas",137,M,M
"McHenry, James","Adams, John",136,M,M
"Jay, John","Washington, George",136,M,M
"Washington, George","McHenry, James",136,M,M
"Washington, George","Rochambeau, Jean-Baptiste Donatien de Vimeur comte de",136,M,M
"Adams, John","Van der Kemp, François Adriaan",136,M,M
"United States House of Representatives,","Adams, John",136,NA,M
"Washington, George","Pearce, William",136,M,M
"Washington, George","Jay, John",134,M,M
"Adams, John","Pickering, Timothy",133,M,M
"Washington, George","Laurens, Henry",132,M,M
"Washington, George","Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de",132,M,M
"King, Rufus","Madison, James",132,M,M
"Pinkney, William","Madison, James",131,M,M
"Gibson, Patrick","Jefferson, Thomas",131,M,M
"Franklin, Benjamin","Franklin, Deborah",129,M,F
"Wayne, Anthony","Washington, George",129,M,M
"Washington, George","Morris, Robert",129,M,M
"Morris, Robert","Washington, George",128,M,M
"Vergennes, Charles Gravier comte de","Franklin, Benjamin",128,M,M
"Washington, George","United States Congress,",128,M,M
"Livingston, Robert R.","Madison, James",128,M,M
"Jones, Joseph","Madison, James",127,M,M
"Peabody, Elizabeth Smith Shaw","Adams, Abigail Smith",126,F,F
"Peters, Richard","Washington, George",125,M,M
"Washington, George","Biddle, Clement",124,M,M
"Randolph, Edmund","Madison, James",124,M,M
"Armstrong, John","Madison, James",124,M,M
"McDougall, Alexander","Washington, George",123,M,M
"Dumas, Charles William Frederic","Adams, John",122,M,M
"Adams, John","Warren, James",121,M,M
"Pendleton, Edmund","Madison, James",121,M,M
"Dumas, Charles William Frederic","Jefferson, Thomas",121,M,M
"Adams, John","Boston Patriot,",121,M,M
"Madison, James","Madison, James Sr.",120,M,M
"Washington, George","Schuyler, Philip",120,M,M
"Graham, John","Madison, James",120,M,M
"Reibelt, J. Phillipe","Jefferson, Thomas",120,M,M
"Cranch, Mary Smith","Adams, Abigail Smith",119,F,F
"Laurens, Henry","Washington, George",119,M,M
"Joy, George","Madison, James",119,M,M
