source,target,letters
"Jefferson, Thomas","Madison, James",1207
"Adams, Abigail Smith","Adams, John",1087
"Madison, James","Monroe, James",1002
"Heath, William","Washington, George",990
"Gallatin, Albert","Jefferson, Thomas",968
"Knox, Henry","Washington, George",726
"Hamilton, Alexander","Washington, George",676
"Hamilton, Alexander","McHenry, James",571
"Jefferson, Thomas","Washington, George",562
"Jefferson, George","Jefferson, Thomas",556
"Adams, John","Adams, John Quincy",555
"Jefferson, Thomas","Short, William",544
"Jefferson, Thomas","Monroe, James",508
"Adams, Abigail Smith","Adams, John Quincy",507
"Hancock, John","Washington, George",501
"Pickering, Timothy","Washington, George",486
"Greene, Nathanael","Washington, George",466
"Dearborn, Henry","Jefferson, Thomas",456
"Adams, John Quincy","Adams, Louisa Catherine Johnson",455
"Gallatin, Albert","Madison, James",407
"Franklin, Benjamin","Williams, Jonathan Jr.",405
"Lincoln, Benjamin","Washington, George",400
"Claiborne, William C. C.","Madison, James",385
"Jefferson, Thomas","Peyton, Bernard",383
"Randolph, Edmund","Washington, George",378
"Clinton, George","Washington, George",375
"Jefferson, Thomas","Smith, Robert",369
"Sullivan, John","Washington, George",367
"Barnes, John","Jefferson, Thomas",362
"Trumbull, Jonathan Sr.","Washington, George",348
"Adams, John","Jefferson, Thomas",333
"Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de","Washington, George",332
"Adams, John","Van der Kemp, François Adriaan",321
"McHenry, James","Washington, George",307
"Gates, Horatio","Washington, George",305
"Adams, Abigail Smith","Cranch, Mary Smith",301
"Huntington, Samuel","Washington, George",301
"Dumas, Charles-Guillaume-Frédéric","Franklin, Benjamin",300
"Livingston, William","Washington, George",299
"Coxe, Tench","Hamilton, Alexander",299
"Rochambeau, Jean-Baptiste Donatien de Vimeur comte de","Washington, George",298
"Schuyler, Philip","Washington, George",297
"Adams, John","Pickering, Timothy",296
"Jefferson, Thomas","Randolph, Thomas Mann",295
"Adams, John Quincy","Adams, Thomas Boylston",295
"Adams, John","Rush, Benjamin",278
"McDougall, Alexander","Washington, George",275
